Informe, Informe del sistema eléctrico 2023
Título, Evolución de la generación renovable y no renovable 
Sistema Eléctrico, Nacional
Magnitud, %

"Año";"Renovables";"No Renovables"
"2019";37,539292093515094;62,4607079064849
"2020";43,995922142605146;56,004077857394854
"2021";46,713046633433386;53,28695336656663
"2022";42,22458675077008;57,77541324922991
"2023";50,343927665786204;49,656072334213796
,
Estado, Información elaborada con datos provisionales a enero del 2024
,
Fecha exportación, 10/12/2024 - 12:36:18
,
Fuente, www.ree.es